City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
351,Warri,NG,72.72,overcast clouds,5.5167,5.75,BON Hotel Delta
352,Dubrovytsya,UA,60.96,broken clouds,51.5744,26.565,Druzhba
353,Barentu,ER,67.32,overcast clouds,15.1139,37.5928,
355,Tugulym,RU,60.87,light rain,57.0591,64.6425,
356,Kalat,PK,73.72,broken clouds,29.0225,66.5916,PHE Rest House
357,Ulladulla,AU,61.88,broken clouds,-35.35,150.4667,Sandpiper Motel
358,Nongan,CN,88.21,few clouds,44.382,125.1685,Quanhu Resort
359,Port-Gentil,GA,74.46,overcast clouds,-0.7193,8.7815,Fengshui Residence
360,Kalmunai,LK,84.27,overcast clouds,7.4167,81.8167,VS Villa
361,Cape Canaveral,US,80.98,overcast clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
362,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
